pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2023-01-24,116790,156696.43,1788175.51,1021767.1833333332,90098
2023-01-25,122982,160866.1,1897769.0,1098986.2333333334,95880
2023-01-26,127805,172267.74,1968788.3,1136663.9,98328
2023-01-27,130857,169046.44,1906878.98,1087456.2666666666,96121
2023-01-28,141607,181661.46,1911384.03,1114647.0833333333,97941
2023-01-29,102960,140149.64,1384971.5,752043.1666666666,72934
2023-01-30,91118,124280.98,1365219.59,751071.6333333333,70599
2023-01-31,110341,144817.93,1699847.08,984203.6166666668,85721
2023-02-01,120770,163903.97,1855497.17,1058758.316666667,93735
2023-02-02,127089,171422.62,1947423.25,1119722.4166666667,97924
2023-02-03,134196,170810.74,1956376.61,1108861.0333333334,100414
2023-02-04,123467,154087.74,1632349.59,934084.2333333332,86029
2023-02-05,97441,130816.11,1298820.67,710896.8833333333,68831
2023-02-06,99942,135652.78,1486134.46,821174.75,76714
2023-02-07,118884,160513.56,1825895.11,1046278.5,92147
2023-02-08,121442,165608.26,1880699.44,1087351.2833333334,93762
2023-02-09,126263,173178.86,1979170.99,1162055.4,97793
2023-02-10,132063,173061.9,1954393.45,1129971.316666667,97541
2023-02-11,143499,182396.77,1943471.63,1157952.3333333333,99041
2023-02-12,110603,150529.36,1476773.53,796465.2,78349
2023-02-13,103717,140634.24,1530054.15,849688.9666666667,78565
2023-02-14,124066,161142.68,1888504.87,1125653.8,93329
2023-02-15,121374,166362.84,1868491.76,1071533.55,92979
2023-02-16,123182,168204.67,1925806.79,1125300.95,95810
2023-02-17,130136,164138.5,1879511.62,1079715.05,95188
2023-02-18,133738,167892.51,1763940.49,1029793.3166666668,90668
2023-02-19,109218,143161.27,1435124.36,799122.1333333333,74633
2023-02-20,89001,118002.21,1161870.2,625254.3,63487
2023-02-21,111073,147176.18,1666048.53,949318.0166666668,84498
2023-02-22,124275,162003.63,1889287.04,1107316.3,94228
2023-02-23,128492,172537.8,1975594.55,1149176.1166666667,97733
2023-02-24,135137,172706.01,1969895.39,1129525.8,99168
2023-02-25,141577,179223.87,1902312.85,1103333.7,98138
2023-02-26,105093,141740.07,1403679.87,763054.4,73890
2023-02-27,101696,134694.9,1505733.84,834647.0666666667,77960
2023-02-28,112193,150145.73,1682083.91,932382.6333333332,86458
2023-03-01,126108,169912.84,1962006.79,1140641.183333333,97696
2023-03-02,130623,176189.45,2027987.76,1180664.6666666667,100543
2023-03-03,135624,172722.43,1976268.73,1132243.9,99949
2023-03-04,141936,178945.29,1907047.95,1113235.15,98426
2023-03-05,111701,149067.86,1501809.09,831981.1166666667,78875
2023-03-06,101647,133265.17,1510394.12,850093.0,77440
2023-03-07,127717,167264.61,1953003.87,1124042.7666666666,97838
2023-03-08,128727,169113.81,2004799.63,1179261.816666667,99036
2023-03-09,133358,177252.07,2070047.46,1214315.6333333333,102357
2023-03-10,139558,176207.35,2053517.36,1192548.566666667,102890
2023-03-11,140353,176336.15,1861582.18,1076189.0833333333,96744
2023-03-12,109885,145011.08,1445284.07,788177.9833333333,76589
2023-03-13,110775,140295.93,1626310.97,930672.7166666668,83632
2023-03-14,121216,156257.23,1815639.32,1037714.7166666668,92041
2023-03-15,130199,168965.76,2014443.81,1194116.5833333333,99345
2023-03-16,134401,176352.68,2086944.82,1250497.75,101940
2023-03-17,126215,159659.05,1849995.75,1078818.0333333334,91595
2023-03-18,151527,193503.64,2034094.08,1188091.816666667,104031
2023-03-19,114074,146130.06,1505170.19,834473.1,80028
2023-03-20,96940,129690.19,1430621.53,786243.4833333333,73951
2023-03-21,111145,149941.47,1703846.39,978170.8666666668,85177
2023-03-22,114576,155161.07,1783227.14,1028689.5333333332,88428
2023-03-23,123765,165450.46,1897312.02,1099753.65,94360
2023-03-24,127043,166533.34,1846764.63,1038924.0833333334,93073
2023-03-25,144882,180900.37,1922387.45,1112463.9666666666,100134
2023-03-26,108414,143869.84,1446841.25,810058.9833333333,75109
2023-03-27,105166,138252.24,1548764.48,855624.7166666667,79620
2023-03-28,113739,153540.94,1751457.83,1008581.7666666668,87102
2023-03-29,121448,163738.18,1873869.4,1082330.5166666666,92836
2023-03-30,129513,170724.88,1982985.65,1151984.85,98572
2023-03-31,131830,171292.5,1921398.08,1092417.6,96221
2023-04-01,145934,184410.89,1940971.4,1124584.1166666667,100331
2023-04-02,117488,152623.52,1536145.36,851539.25,80847
2023-04-03,107261,140533.61,1574986.3,896232.2833333333,79801
2023-04-04,123729,164032.16,1833584.34,1032573.3666666668,92293
2023-04-05,130372,164424.63,1952247.7,1155296.933333333,97059
2023-04-06,124535,161980.14,1802541.3,1021876.4833333332,90510
2023-04-07,130328,163840.12,1772838.99,977698.3666666668,90421
2023-04-08,132754,165689.51,1695321.07,967961.6333333332,88415
2023-04-09,106844,136935.85,1349074.94,737886.1166666667,71798
2023-04-10,99680,130973.01,1421755.93,790313.75,72803
2023-04-11,116682,155660.53,1755372.91,1008296.4333333332,87261
2023-04-12,127873,169787.8,1924018.41,1108046.2333333334,95285
2023-04-13,136543,180186.16,2065819.1,1207263.066666667,101339
2023-04-14,144837,186410.55,2092564.25,1194052.25,103880
2023-04-15,144762,186005.02,1963370.99,1147308.05,99887
2023-04-16,113859,151318.43,1502706.56,821532.5833333334,78902
2023-04-17,103515,139664.67,1545450.13,862326.5666666667,78953
2023-04-18,123280,162489.89,1910839.47,1122621.3833333333,94735
2023-04-19,125335,168248.59,1973380.62,1167824.05,96757
2023-04-20,133679,175868.35,2087269.12,1244563.8333333333,101461
2023-04-21,132671,177162.5,1941018.74,1083526.7833333334,97082
2023-04-22,145597,187078.32,1971246.39,1158536.6333333333,100687
2023-04-23,109205,146761.91,1477894.08,828414.7333333333,76898
2023-04-24,105489,141165.36,1605723.97,919922.65,80414
2023-04-25,120267,160103.03,1902654.84,1142206.066666667,92471
2023-04-26,127820,169880.64,2030184.2,1212208.2333333334,98634
2023-04-27,131915,173394.96,2080714.2,1252716.8,100657
2023-04-28,139095,173326.09,2069269.79,1229154.8833333333,102343
2023-04-29,130490,154334.37,1768561.18,1071495.35,91340
2023-04-30,104081,131733.29,1411966.92,816871.45,73811
2023-05-01,102358,137700.68,1571698.18,907526.55,78769
2023-05-02,122966,161077.2,1937057.35,1154918.8666666667,95125
2023-05-03,127477,168548.43,2019842.67,1202420.25,98801
2023-05-04,135277,177325.7,2144672.93,1292622.65,104194
2023-05-05,137464,178148.43,2054653.83,1202624.6666666667,101282
2023-05-06,149295,195070.06,2064922.61,1228473.433333333,103697
2023-05-07,114890,153424.54,1540570.31,853054.1666666666,80484
2023-05-08,104671,139998.38,1590810.86,908171.4,79900
2023-05-09,123746,164422.45,1951746.25,1154995.1333333333,95521
2023-05-10,125409,164782.94,2009830.44,1226451.1,96990
2023-05-11,138562,184751.53,2198186.66,1318267.4833333334,106317
2023-05-12,140121,177517.74,2086256.35,1235509.8,102868
2023-05-13,148590,188917.42,2034074.32,1222263.35,102786
